Proband;pb1;pb1_2;pb2;pb3;pb3_2;pb4;pb5;pb5_2;pb7;pb7_2;pb8
distance;1630529.05757541;1866949.7047311256;3412164.303558506;1580504.52219845;1367243.5990469952;2639054.1484934;1111382.8834597329;1402505.3457905042;1470437.0570927009;1598708.6714558348;3260830.4735793234
mean_distance;175.00580203664376;200.38099224333214;183.12479491002554;169.6366343456531;146.74719320027853;141.63334666953253;119.2854871159958;150.53186066228446;157.82301782684348;171.44328916416458;175.00297716842823
zero-overhead-counter;1375;625;849;486;412;963;616;307;637;133;337
ref before query (rbq);1648;978;11507;4038;794;7664;4938;7000;8002;1939;20668
query berfore ref (qbr);10023;12301;11036;7375;10666;15203;6535;4999;3738;11863;2506
max rbq;408;268;890;668;55;332;421;694;1095;340;3314
max qbr;-2030;-2928;-512;-1213;-1411;-1803;-342;-295;-258;-2260;-378
max distance;408.920797831982;343.81646380692723;553.9657195211004;576.4582869568137;456.936585064693;552.3322471162825;393.829304022396;667.4873571798237;521.0195588213692;552.5360752780697;565.7536887987874
min distane;1.6907654184177383;0.23700841827500954;0.6583116114873001;1.811161026591096;1.548263492937968;0.3081418570704983;0.0970771902405913;0.4770410222196178;1.1554046354708083;1.7431051809122218;0.6980798083539081
Alias_Distance;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel;Spot7_winkel
distance;782923.4655554388;656418.2259977658;1077191.2537660934;392620.20630669245;456086.3571186297;700513.8665029859;313262.42720291787;303443.59334572416;459983.38082453643;385013.3067112974;699140.8299732812
mean_distance;84.03171252070825;70.45381839623975;57.81094046938729;42.14019601874986;48.95206151321559;37.59533443369216;33.62267116055789;32.56880898848601;49.37033174031732;41.2882902639461;37.52164600296685
zero-overhead-counter;40;624;1094;177;289;351;176;165;626;170;339
ref before query (rbq);4086;612;11636;5055;615;14286;5056;6003;9644;1888;10184
